IDN,Last Name,Major,Minor,"Student (S) / 
Faculty (F)",Password,,Mitchell College of Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Korio,Language,English,S,C0RPS3-HUSB4ND!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Steele,School of Computing,Mathematics,S,Frequent_Crier404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Broadus,College of Engineering,Mathematics,F,S0ck-Gr3ml1n!!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Nivison,Humanities,Mitchell College of Business,F,Milk-Man!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,Johnson,College of Engineering,Physical Sciences,S,K00pa-Tr00pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Smith,Humanities,Language,S,L1nk-th3-Tw1nk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Woz,Humanities,N/A,F,Sc0tt-Th3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Rey,Humanities,Physical Sciences,S,W1th/Th3/F0rc3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,Graves,Physical Sciences,Language,S,cEmEtErY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Garri,College of Engineering,Humanities,F,Flu1d-R0b0t1cs!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Labrato,Humanities,N/A,F,HorrorFan1,,,,,,https://www.southalabama.edu/undergraduatemajors/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Carter,Humanities,Language,S,M4r10-K4rt-Wii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Lecter,College of Medicine,Mitchell College of Business,S,Fl4sh_Enjoyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Juana,Physical Sciences,Mathematics,F,HighFlyer4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Bray,Humanities,Mitchell College of Business,S,2971-CCSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Wick,Humanities,Visual Arts,S,J0hn-W1ck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Willett,School of Computing,Mathematics,S,B1rd-L0v3r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Smith,College of Nursing,N/A,S,Jhn-Jcb-Jnglhmr-Schmdt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Thatcher,Humanities,N/A,F,The-Wicked-B-is-Dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Winfrey,History,History,S,Free_Win!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,Denson,Humanities,N/A,S,G4y-4-Funs13s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,Acier,Language,Humanities,F,W0m4n-Enj0y3r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Adam,Physical Sciences,N/A,S,PrincessP34ch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Tomodachi,Mathematics,N/A,S,N1nt3nd0g5!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Davidson,School of Computing,Mathematics,F,password123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Campbell,Humanities,School of Computing,S,S4mus-M41n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Craig,Visual Arts,Humanities,S,NamesBond-JamesBond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Eymard,Physical Sciences,Visual Arts,F,T0rn4d0-Ch453r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Ross,Physical Sciences,N/A,S,P4ss-W0rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Hicks,History,School of Computing,S,L34gu3_0f_L05er5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Evans,Mitchell College of Business,N/A,F,Ih4ve2Dads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Estrada,Humanities,Humanities,S,Hnchbck-0f-NtrDm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Jacobs,School of Computing,Mathematics,S,Lu1g1sM4n510n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,Richards,Language,N/A,S,G0_Off_G1rl!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Lucien,Communications,Humanities,S,ItsN0tThaTb4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,Richard,College of Medicine,Mitchell College of Business,F,Nuk3_Dukem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Thorne,Physical Sciences,History,S,RoseBush899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Moody,Humanities,Language,S,V3ry!N1ce!Actu4lly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Le,College of Medicine,College of Nursing,S,iminsomuchdebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Meyer,College of Engineering,Mathematics,S,GL_GK_GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Wright,College of Medicine,Physical Sciences,S,NOT_Wr0ng!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Miller,Physical Sciences,Mitchell College of Business,S,password?!?!111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Hicks,Physical Sciences,School of Computing,F,omgTheyW3reRoomates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Stefan,Communications,School of Computing,S,the_whole_world_1n_my_h4nds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,King,School of Computing,Mitchell College of Business,S,K1ng!B00!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
